date,repo,category,stars,forks,watchers,open_issues,size_kb,days_since_push,language,license,release_tag,days_since_release,pypi_version,pypi_releases,pypi_cadence_days,requires_python
2026-08-24,pola-rs/polars,data-engineering,39460,3043,216,2859,210450,0,Rust,MIT,rs-0.55.2,17,1.43.2,429,5.98,>=3.10
2026-08-23,postgres/postgres,database,21878,5867,573,0,775496,0,C,NOASSERTION,,,,,,
2026-08-24,postgres/postgres,database,21879,5869,573,0,775496,0,C,NOASSERTION,,,,,,
2026-08-23,prometheus/prometheus,platform,65785,10785,1161,922,288100,0,Go,Apache-2.0,v3.14.0,5,,,,
2026-08-24,prometheus/prometheus,platform,65788,10787,1161,921,288189,0,Go,Apache-2.0,v3.14.0,5,,,,
2026-08-23,pydantic/pydantic,web-backend,28596,2889,159,582,437264,2,Python,MIT,v2.13.4,109,2.13.4,204,13.17,>=3.9
2026-08-24,pydantic/pydantic,web-backend,28598,2893,159,582,437264,2,Python,MIT,v2.13.4,109,2.13.4,204,13.17,>=3.9
2026-08-23,pytorch/pytorch,machine-learning,102556,28962,1805,17302,1497605,0,Python,NOASSERTION,v2.13.0,46,2.13.0,49,42.13,>=3.10
2026-08-24,pytorch/pytorch,machine-learning,102563,28962,1805,17295,1497629,0,Python,NOASSERTION,v2.13.0,46,2.13.0,49,42.13,>=3.10
2026-08-23,questdb/questdb,database,17271,1639,134,920,1979991,0,Java,Apache-2.0,10.0.0,17,,,,
2026-08-24,questdb/questdb,database,17273,1639,134,921,1978742,0,Java,Apache-2.0,10.0.0,17,,,,
2026-08-23,ray-project/ray,machine-learning,43583,7955,479,3517,784918,0,Python,Apache-2.0,ray-2.58.0,0,2.58.0,132,21.65,>=3.10
2026-08-24,ray-project/ray,machine-learning,43587,7957,479,3517,785625,0,Python,Apache-2.0,ray-2.58.0,0,2.58.0,132,21.65,>=3.10
2026-08-23,redis/redis,database,76086,24760,2481,2907,215643,0,C,NOASSERTION,8.10.1,6,,,,
2026-08-24,redis/redis,database,76092,24762,2481,2907,215643,0,C,NOASSERTION,8.10.1,6,,,,
2026-08-23,scikit-learn/scikit-learn,machine-learning,67030,27303,2124,2125,186995,2,Python,BSD-3-Clause,1.9.0,82,1.9.0,75,42.42,>=3.11
2026-08-24,scikit-learn/scikit-learn,machine-learning,67039,27308,2124,2127,186995,2,Python,BSD-3-Clause,1.9.0,82,1.9.0,75,42.42,>=3.11
2026-08-23,streamlit/streamlit,visualisation,45598,4360,332,1188,1075287,0,Python,Apache-2.0,1.62.0,3,1.62.0,271,13.98,>=3.10
2026-08-24,streamlit/streamlit,visualisation,45599,4360,332,1191,1075473,0,Python,Apache-2.0,1.62.0,4,1.62.0,271,13.98,>=3.10
2026-08-23,timescale/timescaledb,database,23402,1139,307,394,64343,2,C,NOASSERTION,2.29.2,5,,,,
2026-08-24,timescale/timescaledb,database,23403,1139,307,394,64343,3,C,NOASSERTION,2.29.2,5,,,,
2026-08-23,unionai-oss/pandera,data-engineering,4439,435,21,444,5994,0,Python,MIT,v0.32.1,55,0.32.1,123,10.58,>=3.10
2026-08-24,unionai-oss/pandera,data-engineering,4440,435,21,444,5994,1,Python,MIT,v0.32.1,55,0.32.1,123,10.58,>=3.10
2026-08-23,valkey-io/valkey,database,26951,1297,128,878,229404,0,C,BSD-3-Clause,9.1.1,32,,,,
2026-08-24,valkey-io/valkey,database,26956,1297,128,878,229404,0,C,BSD-3-Clause,9.1.1,33,,,,
